timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777284067982,0,POST /roadmap-items/bulk/non-transactional/{roadMapId},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-1,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/bulk/non-transactional/1,0,0,0
1777284068012,0,GET /roadmap-items/{id},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-10,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/1,0,0,0
1777284068071,1,GET /roadmaps?title={title},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-9,text,false,,2293,0,10,10,http://localhost:8080/api/roadmaps?title=Roadmap-fb7b649d-bd01-4629-a0ad-1da55607ee19,0,0,1
1777284068071,1,GET /users/{id},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-6,text,false,,2293,0,10,10,http://localhost:8080/api/users/1,0,0,1
1777284068071,1,POST /transactions/without-transactional,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-8,text,false,,2293,0,10,10,http://localhost:8080/api/transactions/without-transactional,0,0,1
1777284068070,2,POST /roadmap-items/bulk/non-transactional/{roadMapId},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-3,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/bulk/non-transactional/1,0,0,2
1777284068081,0,GET /tags/{id},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-7,text,false,,2293,0,10,10,http://localhost:8080/api/tags/1,0,0,0
1777284068081,0,GET /roadmap-items/entity-graph,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-5,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/entity-graph,0,0,0
1777284068083,0,POST /async-tasks/roadmaps/{roadMapId}/bulk-roadmap-items,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-2,text,false,,2293,0,10,10,http://localhost:8080/api/async-tasks/roadmaps/1/bulk-roadmap-items,0,0,0
1777284068086,1,POST /roadmap-items/bulk/transactional/{roadMapId},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-4,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/bulk/transactional/1,0,0,1
1777284068087,0,POST /async-tasks/roadmaps/{roadMapId}/bulk-roadmap-items,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-1,text,false,,2293,0,10,10,http://localhost:8080/api/async-tasks/roadmaps/1/bulk-roadmap-items,0,0,0
1777284068118,1,GET /roadmaps?title={title},Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-10,text,false,,2293,0,10,10,http://localhost:8080/api/roadmaps?title=Roadmap-fb7b649d-bd01-4629-a0ad-1da55607ee19,0,0,0
1777284068175,1,GET /roadmap-items/entity-graph,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-6,text,false,,2293,0,10,10,http://localhost:8080/api/roadmap-items/entity-graph,0,0,1
1777284068175,1,POST /transactions/with-transactional,Non HTTP response code: java.net.SocketException,Non HTTP response message: Operation not permitted,RoadMap2026 - CRUD Flow 1-9,text,false,,2293,0,10,10,http://localhost:8080/api/transactions/with-transactional,0,0,1
